Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Mercedes Industrial Solutions,AGGE,Small Utility Vehicle,3.0,6,A9,Z,13.0,9.9,11.6,24,272,high
Korea Industrial Apparatus,SDNL,Compact Transport Equipment,3.3,6,AS6,X,14.2,10.5,12.5,23,296,high
Volvo Industrial Solutions,S0PD,Compact Utility Equipment,3.0,6,AS6,X,12.8,8.9,11.0,26,253,high
Dodge Equipment Ltd.,JUNV,Small Utility Vehicle,3.6,6,A6,X,14.2,9.4,12.0,24,276,high
Nissan Machinery Ltd.,MRNO,Mid-Sized Transport Machinery,3.5,6,AV7,X,11.7,8.3,10.2,28,240,medium
Acura Manufacturing,TXSC,Compact Utility Equipment,3.5,6,AS9,Z,12.0,8.2,10.3,27,240,medium
Chevrolet Engineering Works,SBRD,Standard Utility Vehicle,5.3,8,A6,X,15.4,10.8,13.3,21,312,high
Bauer Machinery Works,M_AN,Subcompact Utility Machinery,4.4,8,AS8,Z,16.0,11.0,13.8,20,322,high
Ford Industrial Corp.,F10V,Standard Transport Machinery,5.0,8,AS6,X,15.4,10.6,13.2,21,310,high
Korea Industrial Apparatus,OTMA,Mid-Sized Utility Machines,2.4,4,A6,X,10.2,6.8,8.7,32,200,low
Chevrolet Engineering Works,IPLV,Heavy-Duty Utility Machinery,3.6,6,AS6,X,12.5,8.2,10.6,27,248,medium
Honda Heavy Industries,PLTT,Small Utility Vehicle,3.5,6,A5,X,13.3,9.3,11.5,25,265,high
Bauer Machinery Works,X_DI,Standard Utility Vehicle,3.0,6,AS8,Z,13.0,9.7,11.5,25,269,high
Jaguar Industrial Machines,X_UD,Heavy-Duty Utility Machinery,5.0,8,AS8,Z,15.8,10.2,13.3,21,306,high
Nissan Machinery Ltd.,SNRO,Mid-Sized Utility Machines,1.6,4,M6,Z,9.5,7.6,8.7,32,204,medium
Ford Industrial Corp.,F104,Standard Transport Machinery,5.0,8,AS10,E,20.3,14.7,17.8,16,296,high
Mercedes Industrial Solutions,E20C,Mid-Sized Utility Machines,2.1,4,AS7,D,8.6,6.0,7.4,38,200,low
Lincoln Manufacturing,MCA),Small Utility Vehicle,2.0,4,AS6,X,12.1,9.3,10.8,26,254,high
Honda Heavy Industries,ACRD,Heavy-Duty Utility Machinery,2.0,4,AV,X,5.0,5.0,5.0,56,117,very low
Bauer Machinery Works,70_N,Heavy-Duty Utility Machinery,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,high
Bauer Machinery Works,60_T,Subcompact Utility Machinery,3.0,6,AS8,Z,12.4,8.4,10.6,27,249,medium
Nissan Machinery Ltd.,JK_D,Small-Scale Transport Machinery,1.6,4,AV7,Z,9.0,7.8,8.4,34,199,low
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,E,20.7,14.7,18.0,16,300,high
Cadillac Engineering Solutions,X6AD,Small Utility Vehicle,3.6,6,AS9,X,13.5,9.7,11.8,24,277,high
Mitsubishi Industrial Equipment,LNEK,Small-Scale Transport Machinery,2.0,4,M5,X,9.8,7.1,8.6,33,198,low
Mercedes Industrial Solutions,C200,Compact Utility Equipment,1.8,4,AS7,Z,10.9,7.5,9.4,30,216,medium
Audi Industrial Equipment,Q_D),Small Utility Vehicle,3.0,6,AS8,D,10.2,7.8,9.0,31,244,medium
Nissan Machinery Ltd.,FOTR,Light-Duty Transport Machinery,4.0,6,A5,X,14.7,10.4,12.8,22,300,high
Korea Industrial Apparatus,FREE,Mid-Sized Utility Machines,2.0,4,AV,X,7.9,5.9,7.0,40,165,low
Bauer Machinery Works,M_RE,Compact Utility Equipment,4.4,8,AM7,Z,17.2,11.6,14.7,19,343,high
Hyundai Manufacturing Solutions,EATA,Mid-Sized Utility Machines,2.0,4,AS6,X,8.3,6.4,7.4,38,174,low
Porsche Engineering Works,91CS,Mini Utility Equipment,3.0,6,AM7,Z,11.1,8.5,9.9,29,232,medium
Dodge Equipment Ltd.,DR_O,Mid-Sized Utility Machines,1.4,4,AM6,X,8.4,5.9,7.3,39,168,low
Chevrolet Engineering Works,SLET,Standard Transport Machinery,2.7,4,A8,X,12.5,10.8,11.7,24,275,high
Subaru Heavy Machinery,IPED,Mid-Sized Utility Machines,2.0,4,M5,X,10.1,7.5,8.9,32,209,medium
Chevrolet Engineering Works,SNCS,Mid-Sized Utility Machines,1.4,4,AS6,X,9.4,7.0,8.3,34,191,low
Korea Industrial Apparatus,SRNO,Small Utility Vehicle,2.4,4,A6,X,11.8,8.5,10.3,27,237,medium
Mercedes Industrial Solutions,AGGR,Small-Scale Operator Machinery,4.0,8,AM7,Z,15.2,11.4,13.5,21,315,high
Toyota Heavy Machinery,TCMA,Light-Duty Transport Machinery,2.7,4,AS6,X,12.1,10.1,11.2,25,263,high
Honda Heavy Industries,FTTT,Small-Scale Transport Machinery,1.5,4,AV7,X,7.6,6.5,7.0,40,166,low
Porsche Engineering Works,91CS,Mini Utility Equipment,3.0,6,M7,Z,12.8,8.9,11.0,26,257,high
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS6,E,22.2,16.5,19.6,14,326,high
Audi Industrial Equipment,R_PR,Small-Scale Operator Machinery,4.2,8,A7,Z,17.6,11.0,14.6,19,336,high
Ford Industrial Corp.,CMXD,Heavy-Duty Utility Machinery,2.0,4,AV,X,5.6,6.4,6.0,47,138,very low
Ford Industrial Corp.,FSON,Mid-Sized Utility Machines,2.0,4,AS6,X,10.5,7.0,8.9,32,205,medium
Hyundai Manufacturing Solutions,ACNT,Compact Utility Equipment,1.6,4,M6,X,8.7,6.4,7.7,37,177,low
Lexus Engineering,L_6D,Mid-Sized Utility Machines,4.6,8,AS8,Z,15.1,10.3,12.9,22,303,high
Bauer Machinery Works,30II,Compact Utility Equipment,2.0,4,A8,Z,10.0,6.5,8.4,34,193,low
Chevrolet Engineering Works,SLEV,Standard Transport Machinery,4.3,6,A6,X,13.4,10.0,11.8,24,278,high
Nissan Machinery Ltd.,SNRO,Mid-Sized Utility Machines,1.6,4,M6,Z,9.5,7.6,8.7,32,204,medium
Lexus Engineering,I_0D,Compact Utility Equipment,3.5,6,AS6,Z,12.3,9.1,10.9,26,254,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,6.2,8,A8,Z,15.9,11.1,13.8,20,317,high
Bauer Machinery Works,X_DI,Standard Utility Vehicle,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,high
Volkswaren Machine Systems,GLFF,Compact Utility Equipment,1.8,4,M5,X,9.3,6.4,8.0,35,184,low
Bauer Machinery Works,M4IE,Subcompact Utility Machinery,3.0,6,AS8,Z,11.2,7.8,9.7,29,227,medium
Mercedes Industrial Solutions,S50T,Subcompact Utility Machinery,4.0,8,A9,Z,13.9,9.2,11.8,24,276,high
Audi Industrial Equipment,QQ33,Compact Utility Equipment,2.0,4,AS6,Z,11.6,8.3,10.1,28,236,medium
Lincoln Manufacturing,CNID,Heavy-Duty Utility Machinery,3.7,6,AS6,X,14.3,9.7,12.2,23,287,high
General Manufacturing Corporation,SERA,Standard Transport Machinery,4.3,6,A6,E,18.9,14.2,16.8,17,269,high
Honda Heavy Industries,H-VV,Small-Scale Transport Machinery,1.8,4,M6,X,9.4,7.1,8.4,34,195,low
Ford Industrial Corp.,FE_D,Standard Utility Vehicle,3.5,6,AS6,X,14.7,10.7,12.9,22,303,high
Toyota Heavy Machinery,HGLD,Standard Utility Vehicle,2.5,4,AV,X,6.7,6.8,6.7,42,158,low
Subaru Heavy Machinery,LGCD,Mid-Sized Utility Machines,3.6,6,AS5,X,13.3,9.5,11.6,24,267,high
Ford Industrial Corp.,T10V,Passenger Transport Equipment,3.7,6,AS6,X,16.7,13.0,15.1,19,354,high
Mercedes Industrial Solutions,E50E,Subcompact Utility Machinery,4.7,8,AS7,Z,13.3,8.9,11.4,25,262,high
Audi Industrial Equipment,ALLL,Heavy-Duty Utility Machinery,4.0,8,AS8,Z,15.4,10.4,13.2,21,308,high
Toyota Heavy Machinery,RV_D,Small Utility Vehicle,2.5,4,AS6,X,10.7,8.3,9.6,29,221,medium
Nissan Machinery Ltd.,QSQI,Small-Scale Transport Machinery,2.0,4,M6,X,10.0,8.1,9.2,31,216,medium
Lamborghini Industrial Works,HRCR,Small-Scale Operator Machinery,5.2,10,AM7,Z,16.9,11.8,14.6,19,340,high
Nissan Machinery Ltd.,RGED,Small Utility Vehicle,2.5,4,AV,X,9.5,7.4,8.6,33,198,low
Chevrolet Engineering Works,SAKK,Subcompact Utility Machinery,1.2,4,M5,X,7.6,6.0,6.9,41,159,low
Chevrolet Engineering Works,SNC5,Small-Scale Transport Machinery,1.4,4,M6,X,8.4,6.3,7.4,38,174,low
Alfa Machinery Systems,44CC,Small-Scale Operator Machinery,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,low
Ford Industrial Corp.,MSAE,Subcompact Utility Machinery,5.0,8,AS6,X,15.4,10.0,13.0,22,299,high
Honda Heavy Industries,PLTD,Small Utility Vehicle,3.5,6,A6,X,13.0,9.3,11.3,25,266,high
Ford Industrial Corp.,TUUS,Heavy-Duty Utility Machinery,2.0,4,AS6,X,10.5,7.4,9.1,31,209,medium
Mercedes Industrial Solutions,AGS+,Heavy-Duty Utility Machinery,4.0,8,A9,Z,14.1,8.9,11.8,24,275,high
Lexus Engineering,R_FF,Subcompact Utility Machinery,5.0,8,AS8,Z,15.2,9.5,12.6,22,289,high
Hyundai Manufacturing Solutions,SNTD,Mid-Sized Utility Machines,2.0,4,AM6,X,6.0,5.3,5.7,50,135,very low
Chevrolet Engineering Works,CUEK,Mid-Sized Utility Machines,1.4,4,AS6,X,8.1,6.2,7.3,39,172,low
Honda Heavy Industries,PLTD,Small Utility Vehicle,3.5,6,A5,X,13.9,9.7,12.0,24,276,high
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,2.8,4,A6,D,12.2,8.4,10.5,27,283,high
Mini Industrial Tools,JH_4,Compact Utility Equipment,1.6,4,M6,Z,9.4,7.6,8.6,33,201,medium
Bauer Machinery Works,M5IE,Mid-Sized Utility Machines,4.4,8,AS8,Z,14.5,9.9,12.4,23,290,high
Dodge Equipment Ltd.,DR_O,Mid-Sized Utility Machines,1.4,4,AM6,X,8.4,5.9,7.3,39,168,low
Ford Industrial Corp.,MSA),Subcompact Utility Machinery,2.3,4,M6,X,11.8,8.4,10.3,27,240,medium
Mini Industrial Tools,JH_S,Subcompact Utility Machinery,2.0,4,M6,Z,10.4,7.7,9.2,31,212,medium
Nissan Machinery Ltd.,AMDD,Standard Utility Vehicle,5.6,8,A5,X,19.2,13.4,16.6,17,382,high
Korea Industrial Apparatus,NR_E,Small-Scale Transport Machinery,1.6,4,AM6,X,4.5,4.8,4.7,60,110,very low
Mercedes Industrial Solutions,AGSE,Compact Utility Equipment,6.0,12,A9,Z,17.6,11.0,14.6,19,343,high
Toyota Heavy Machinery,RV_E,Small Utility Vehicle,2.5,4,AS6,X,10.0,7.8,9.0,31,210,medium
Chevrolet Engineering Works,SLES,Standard Transport Machinery,5.3,8,A6,X,16.5,13.0,14.9,19,350,high
Mini Industrial Tools,COER,Subcompact Utility Machinery,1.5,3,AS6,Z,8.7,6.8,7.9,36,184,low
Volvo Industrial Solutions,S0AD,Compact Utility Equipment,2.5,5,AS6,X,11.6,8.3,10.1,28,232,medium
Chevrolet Engineering Works,CUEO,Mid-Sized Utility Machines,1.4,4,A6,X,9.0,6.1,7.7,37,177,low
Mercedes Industrial Solutions,S50B,Mid-Sized Utility Machines,4.0,8,A9,Z,13.5,8.6,11.3,25,265,high
Nissan Machinery Ltd.,SNRO,Mid-Sized Utility Machines,1.6,4,M6,Z,9.5,7.6,8.7,32,204,medium
Mini Industrial Tools,COE4,Compact Utility Equipment,1.6,4,M6,Z,9.4,7.6,8.6,33,201,medium
Jeep Engineering Co.,CMAS,Small Utility Vehicle,2.4,4,M5,X,10.2,8.3,9.3,30,219,medium
Infiniti Machine Works,Q0AD,Mid-Sized Utility Machines,5.6,8,AS7,Z,15.0,10.2,12.9,22,297,high
Cadillac Engineering Solutions,ECLD,Standard Utility Vehicle,6.2,8,A8,Z,16.4,11.7,14.3,20,329,high
Lexus Engineering,U_5D,Compact Utility Equipment,2.0,4,AV6,X,5.7,6.2,6.0,47,140,very low
Korea Industrial Apparatus,SOTE,Small Utility Vehicle,2.4,4,M6,X,12.9,9.2,11.3,25,260,high
Bauer Machinery Works,MM33,Compact Utility Equipment,3.0,6,M6,Z,13.5,9.3,11.6,24,273,high
Bentley Heavy Systems,CNIE,Subcompact Utility Machinery,4.0,8,AM8,Z,15.1,9.1,12.4,23,291,high
Mercedes Industrial Solutions,AGG5,Small Utility Vehicle,2.0,4,AS7,Z,10.3,8.1,9.3,30,216,medium
Jeep Engineering Co.,WAG4,Small Utility Vehicle,3.6,6,M6,X,14.2,11.0,12.8,22,298,high
Bauer Machinery Works,M_AT,Subcompact Utility Machinery,4.4,8,M6,Z,16.1,10.8,13.7,21,315,high
Honda Heavy Industries,CVCN,Mid-Sized Utility Machines,2.0,4,M6,X,8.5,6.0,7.4,38,172,low
Toyota Heavy Machinery,HGLD,Standard Utility Vehicle,3.5,6,AS6,X,13.0,9.8,11.6,24,267,high
Dodge Equipment Ltd.,CALV,Mid-Sized Utility Machines,3.6,6,A8,E,17.6,12.0,15.0,19,248,medium
Jeep Engineering Co.,WAG4,Small Utility Vehicle,3.6,6,A8,X,12.8,10.4,11.8,24,274,high
Nissan Machinery Ltd.,MRNO,Mid-Sized Transport Machinery,3.5,6,AV7,X,11.0,8.2,9.8,29,230,medium
Porsche Engineering Works,91CS,Mini Utility Equipment,3.8,6,AM7,Z,12.7,9.2,11.1,25,260,high
Toyota Heavy Machinery,TCMD,Light-Duty Transport Machinery,2.7,4,AS6,X,12.7,10.5,11.7,24,274,high
Chevrolet Engineering Works,TA_D,Small Utility Vehicle,1.4,4,AS6,X,9.7,7.6,8.7,32,205,medium
Land Rover Machinery Co.,RNEV,Standard Utility Vehicle,5.0,8,AS8,Z,17.2,12.5,15.1,19,347,high
Acura Manufacturing,TXXX,Compact Utility Equipment,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,medium
Scion Tech Industries,XXDD,Subcompact Utility Machinery,1.8,4,M5,X,8.6,7.1,7.9,36,182,low
Buick Heavy Industries,ECRE,Small Utility Vehicle,1.4,4,AS6,X,9.5,7.2,8.5,33,196,low
Aston Martin Technologies,D1_8,Mini Utility Equipment,4.0,8,A8,Z,13.0,9.8,11.5,25,271,high
Volvo Industrial Solutions,S0TD,Compact Utility Equipment,2.5,5,AS6,X,11.6,8.2,10.1,28,232,medium
Chevrolet Engineering Works,MLBU,Mid-Sized Utility Machines,2.5,4,AS6,X,9.3,6.4,8.0,35,184,low
Genesis Engineering Systems,G0AD,Heavy-Duty Utility Machinery,3.3,6,AS8,Z,13.6,9.5,11.8,24,280,high
Jeep Engineering Co.,NWW4,Small Utility Vehicle,3.6,6,M6,X,13.7,9.6,11.8,24,277,high
Subaru Heavy Machinery,FRSD,Small Utility Vehicle,2.0,4,AV,Z,10.2,8.6,9.5,30,218,medium
Mercedes Industrial Solutions,G_5C,Standard Utility Vehicle,4.7,8,AS7,Z,17.5,13.1,15.5,18,365,high
Subaru Heavy Machinery,LGCD,Mid-Sized Utility Machines,3.6,6,AV6,X,11.9,8.2,10.2,28,239,medium
Mazda Manufacturing Corp.,MZA6,Mid-Sized Utility Machines,2.5,4,AS6,X,9.1,6.7,8.0,35,187,low
Toyota Heavy Machinery,CHRR,Compact Utility Equipment,2.0,4,AS7,X,8.7,7.5,8.2,34,189,low
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS10,X,14.7,11.2,13.1,22,308,high
Lamborghini Industrial Works,AETE,Small-Scale Operator Machinery,6.5,12,A7,Z,22.8,12.9,18.3,15,421,high
Ford Industrial Corp.,FETA,Subcompact Utility Machinery,1.6,4,M5,X,8.5,6.5,7.6,37,175,low
Nissan Machinery Ltd.,PTFD,Small Utility Vehicle,3.5,6,AV,X,12.1,8.9,10.7,26,246,medium
Ford Industrial Corp.,F10D,Standard Transport Machinery,3.5,6,AS10,X,13.8,11.2,12.6,22,296,high
Fiat Industrial Equipment,50AO,Mini Utility Equipment,1.4,4,A6,X,9.6,7.3,8.6,33,198,low
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.5,4,AS6,X,8.2,6.0,7.2,39,170,low
Toyota Heavy Machinery,TNRD,Standard Transport Machinery,5.7,8,AS6,X,18.1,13.9,16.2,17,378,high
Korea Industrial Apparatus,SULL,Small-Scale Transport Machinery,1.6,4,AM7,X,9.1,7.7,8.5,33,199,low
Toyota Heavy Machinery,RV_D,Small Utility Vehicle,2.5,4,AV6,X,6.9,7.8,7.3,39,170,low
Chrysler Engineering,3000,Heavy-Duty Utility Machinery,5.7,8,A8,X,14.7,9.4,12.3,23,289,high
Chrysler Engineering,VYG),Compact Transport Equipment,3.6,6,A9,X,12.4,8.4,10.6,27,249,medium
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,X,14.5,10.2,12.6,22,294,high
Ford Industrial Corp.,MSAE,Subcompact Utility Machinery,2.3,4,AS10,X,11.8,8.4,10.3,27,242,medium
Korea Industrial Apparatus,FRE5,Heavy-Duty Utility Machinery,1.6,4,A6,X,11.1,8.0,9.7,29,223,medium
Hyundai Manufacturing Solutions,EATT,Heavy-Duty Utility Machinery,2.0,4,AS6,X,9.4,7.2,8.4,34,198,low
Chevrolet Engineering Works,CUED,Mid-Sized Utility Machines,1.8,4,M6,X,9.4,6.6,8.1,35,190,low
Alfa Machinery Systems,4_OE,Small-Scale Operator Machinery,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,low
Lincoln Manufacturing,NUIS,Small Utility Vehicle,2.7,6,AS8,X,12.6,9.2,11.0,26,259,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,2.0,4,AS8,Z,10.2,7.8,9.2,31,215,medium
Porsche Engineering Works,BXTS,Small-Scale Operator Machinery,3.4,6,AM7,Z,11.3,7.9,9.8,29,230,medium
Dodge Equipment Ltd.,DRN),Standard Utility Vehicle,5.7,8,A8,X,17.3,11.5,14.7,19,338,high
Porsche Engineering Works,91TT,Mini Utility Equipment,3.8,6,AM7,Z,12.6,9.9,11.4,25,267,high
Ford Industrial Corp.,F104,Standard Transport Machinery,3.3,6,AS6,X,12.8,10.2,11.6,24,273,high
Jaguar Industrial Machines,EPC0,Small Utility Vehicle,2.0,4,AS9,Z,11.0,8.4,9.8,29,231,medium
Honda Heavy Industries,CVCN,Mid-Sized Utility Machines,1.5,4,AV,X,7.4,5.6,6.6,43,153,low
Porsche Engineering Works,PNME,Heavy-Duty Utility Machinery,4.0,8,AM8,Z,12.8,9.2,11.2,25,261,high
Jeep Engineering Co.,RNGE,Small Utility Vehicle,1.3,4,A9,X,9.8,7.4,8.7,32,204,medium
Bauer Machinery Works,38_O,Heavy-Duty Utility Machinery,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,medium
General Manufacturing Corporation,YKNL,Standard Utility Vehicle,5.3,8,A6,X,15.1,10.4,13.0,22,304,high
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.4,4,AS6,X,8.5,6.0,7.3,39,173,low
Jeep Engineering Co.,CMAS,Small Utility Vehicle,2.4,4,A6,X,11.3,8.7,10.1,28,238,medium
Honda Heavy Industries,H-_D,Small-Scale Transport Machinery,1.8,4,AV,X,8.8,7.5,8.2,34,193,low
Toyota Heavy Machinery,HGLR,Small Utility Vehicle,3.5,6,AS8,X,11.8,8.7,10.3,27,243,medium
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.0,4,M6,X,8.7,6.6,7.8,36,181,low
Toyota Heavy Machinery,YRSS,Compact Utility Equipment,1.5,4,AS6,X,7.3,5.8,6.6,43,155,low
Audi Industrial Equipment,ALLL,Heavy-Duty Utility Machinery,4.0,8,AS8,Z,14.7,9.7,12.5,23,288,high
Mitsubishi Industrial Equipment,LNER,Compact Utility Equipment,2.0,4,M5,X,9.7,7.1,8.5,33,200,low
Lamborghini Industrial Works,AETR,Small-Scale Operator Machinery,6.5,12,AM7,Z,23.0,13.5,18.7,15,438,high
Porsche Engineering Works,91CS,Mini Utility Equipment,3.0,6,M7,Z,12.1,8.4,10.4,27,243,medium
Lamborghini Industrial Works,AETR,Small-Scale Operator Machinery,6.5,12,AM7,Z,26.6,15.8,21.7,13,493,high
General Manufacturing Corporation,SVNR,Passenger Transport Equipment,6.0,8,A6,X,21.8,14.8,18.6,15,438,high
Ram Industrial Equipment,10_),Standard Transport Machinery,5.7,8,A6,X,17.7,12.7,15.4,18,362,high
Toyota Heavy Machinery,CRL),Mid-Sized Utility Machines,1.8,4,AV,X,7.7,5.6,6.8,42,160,low
Audi Industrial Equipment,A_LO,Small-Scale Transport Machinery,2.0,4,AS8,Z,11.2,8.4,9.9,29,232,medium
Maserat Engineering Ltd.,QATS,Heavy-Duty Utility Machinery,3.8,8,AS8,Z,17.6,10.7,14.5,19,334,high
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.2,8,M6,Z,18.1,11.4,15.1,19,352,high
Bauer Machinery Works,X_DI,Small Utility Vehicle,2.0,4,AS8,Z,9.9,7.6,8.8,32,207,medium
Korea Industrial Apparatus,SU_O,Small-Scale Transport Machinery,1.6,4,AM7,X,9.1,7.7,8.5,33,199,low
General Manufacturing Corporation,YKNL,Standard Utility Vehicle,5.3,8,A6,E,21.5,14.6,18.4,15,294,high
Ford Industrial Corp.,FETE,Subcompact Utility Machinery,1.6,4,AS6,X,8.0,5.8,7.0,40,161,low
Mercedes Industrial Solutions,CA2V,Compact Utility Equipment,2.0,4,AS7,Z,9.8,7.1,8.6,33,198,low
Nissan Machinery Ltd.,ATMD,Mid-Sized Utility Machines,2.5,4,AV,X,9.1,6.5,7.9,36,186,low
Mercedes Industrial Solutions,GS4C,Standard Utility Vehicle,3.0,6,A9,Z,14.4,11.4,13.0,22,306,high
Maserat Engineering Ltd.,QAT4,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,15.9,9.7,13.1,22,301,high
Dodge Equipment Ltd.,CAL),Mid-Sized Utility Machines,6.4,8,A8,Z,15.8,9.6,13.0,22,305,high
Mercedes Industrial Solutions,AGCS,Compact Utility Equipment,4.0,8,A9,Z,13.2,8.7,11.2,25,263,high
Dodge Equipment Ltd.,DR_O,Mid-Sized Utility Machines,1.4,4,M6,X,8.5,5.8,7.3,39,168,low
Chevrolet Engineering Works,CUEE,Mid-Sized Utility Machines,1.8,4,M6,X,9.5,6.5,8.2,34,189,low
General Manufacturing Corporation,SVNR,Passenger Transport Equipment,4.8,8,A6,X,21.3,14.3,18.2,16,419,high
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.4,8,M6,Z,16.8,10.4,13.9,20,320,high
Ford Industrial Corp.,FSOD,Mid-Sized Utility Machines,2.7,6,AS6,X,13.5,9.0,11.5,25,270,high
Honda Heavy Industries,CVCE,Compact Utility Equipment,1.5,4,M6,X,7.7,5.7,6.8,42,158,low
Jeep Engineering Co.,GADL,Standard Utility Vehicle,3.0,6,A8,D,11.2,8.4,9.9,29,267,high
Chevrolet Engineering Works,CUEK,Compact Utility Equipment,1.4,4,M6,X,8.3,6.4,7.4,38,173,low
Toyota Heavy Machinery,TNRA,Standard Transport Machinery,5.7,8,AS6,X,17.2,12.9,15.3,18,358,high
Jaguar Industrial Machines,FTPD,Small-Scale Operator Machinery,3.0,6,AS8,Z,13.0,9.2,11.3,25,265,high
Audi Industrial Equipment,T_OO,Subcompact Utility Machinery,2.0,4,AM6,Z,10.4,7.6,9.1,31,209,medium
Lexus Engineering,L_00,Mid-Sized Utility Machines,3.4,6,AS10,Z,12.2,7.8,10.2,28,240,medium
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,AS8,Z,11.8,8.4,10.3,27,237,medium
Porsche Engineering Works,BXTS,Small-Scale Operator Machinery,3.4,6,AM7,Z,11.3,7.9,9.8,29,225,medium
Bauer Machinery Works,50_E,Mid-Sized Utility Machines,3.0,6,AS8,Z,11.6,8.1,10.0,28,236,medium
Porsche Engineering Works,91TS,Mini Utility Equipment,3.0,6,M7,Z,12.2,8.5,10.5,27,246,medium
Jaguar Industrial Machines,X_3D,Compact Utility Equipment,2.0,4,AS8,Z,10.7,7.7,9.4,30,220,medium
Bauer Machinery Works,X_DI,Small Utility Vehicle,3.0,6,AS8,Z,12.7,8.8,10.9,26,257,high
Infiniti Machine Works,Q0AD,Subcompact Utility Machinery,3.0,6,AS7,Z,12.3,8.7,10.7,26,251,high
Mercedes Industrial Solutions,E40C,Mid-Sized Utility Machines,3.0,6,AS7,Z,12.0,8.5,10.4,27,239,medium
Chevrolet Engineering Works,IPLA,Heavy-Duty Utility Machinery,2.5,4,AS6,X,10.6,7.5,9.2,31,215,medium
Dodge Equipment Ltd.,DRND,Standard Utility Vehicle,3.6,6,A8,X,12.8,9.5,11.3,25,265,high
Dodge Equipment Ltd.,JUND,Small Utility Vehicle,3.6,6,A6,X,14.5,10.0,12.4,23,292,high
Dodge Equipment Ltd.,DRNT,Standard Utility Vehicle,6.4,8,A8,Z,18.3,12.2,15.6,18,363,high
Korea Industrial Apparatus,FREP,Compact Utility Equipment,2.0,4,A6,X,9.6,7.0,8.4,34,193,low
Mini Industrial Tools,JH_4,Compact Utility Equipment,1.6,4,AS6,Z,10.1,7.7,9.0,31,212,medium
Subaru Heavy Machinery,OTAD,Small Utility Vehicle,2.5,4,AV6,X,9.3,7.1,8.3,34,191,low
Fiat Industrial Equipment,50HK,Mini Utility Equipment,1.4,4,M5,X,7.7,6.1,7.0,40,163,low
Mitsubishi Industrial Equipment,LNED,Compact Utility Equipment,2.4,4,AV6,X,10.2,7.8,9.1,31,210,medium
Chevrolet Engineering Works,SLEV,Standard Transport Machinery,5.3,8,A6,X,16.6,13.0,15.0,19,350,high
Cadillac Engineering Solutions,ECLD,Standard Utility Vehicle,6.2,8,A10,Z,16.6,10.9,14.0,20,329,high
Fiat Industrial Equipment,50LL,Small-Scale Transport Machinery,1.4,4,AM6,X,9.9,7.2,8.7,32,203,medium
Rolls-Royce Engineering,DWNN,Compact Utility Equipment,6.6,12,AS8,Z,20.4,13.1,17.1,17,400,high
Ford Industrial Corp.,F10),Standard Transport Machinery,3.5,6,AS10,X,13.0,10.2,11.7,24,274,high
Dodge Equipment Ltd.,AEGV,Mid-Sized Utility Machines,3.6,6,A6,E,17.0,11.2,14.4,20,230,medium
Porsche Engineering Works,91C4,Mini Utility Equipment,3.4,6,M7,Z,12.4,8.6,10.7,26,246,medium
Volvo Industrial Solutions,V0T5,Small-Scale Transport Machinery,2.0,4,AS8,Z,10.5,7.1,8.9,32,208,medium
Cadillac Engineering Solutions,ASSS,Compact Utility Equipment,2.5,4,AS6,X,10.5,7.2,9.0,31,207,medium
Toyota Heavy Machinery,SEND,Compact Transport Equipment,3.5,6,AS6,X,14.4,10.2,12.5,23,290,high
Land Rover Machinery Co.,RNEV,Standard Utility Vehicle,3.0,6,AS8,E,19.4,14.9,17.4,16,278,high
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.2,8,A8,Z,18.0,10.7,14.7,19,338,high
Jeep Engineering Co.,CMAS,Small Utility Vehicle,2.4,4,M5,X,10.2,8.2,9.3,30,218,medium
Bentley Heavy Systems,BNAA,Standard Utility Vehicle,6.0,12,AS8,Z,18.8,12.2,15.9,18,370,high
